stimulus,condition,raw_score
425,Financial Advisor,58.75
442,Financial Advisor,28.764705882352942
447,Financial Advisor,56.1764705882353
449,Financial Advisor,52.125
450,Financial Advisor,51.9375
453,Financial Advisor,43.5
458,Financial Advisor,60.88235294117647
47,Financial Advisor,65.23529411764706
490,Financial Advisor,52.23529411764706
49,Financial Advisor,57.0625
525,Financial Advisor,53.75
530,Financial Advisor,68.05882352941177
538,Financial Advisor,48.0
543,Financial Advisor,48.4375
565,Financial Advisor,31.647058823529413
567,Financial Advisor,50.5
582,Financial Advisor,59.294117647058826
589,Financial Advisor,62.35294117647059
597,Financial Advisor,64.0
602,Financial Advisor,44.411764705882355
603,Financial Advisor,58.705882352941174
620,Financial Advisor,48.25
622,Financial Advisor,51.5625
624,Financial Advisor,63.411764705882355
636,Financial Advisor,35.6
637,Financial Advisor,19.375
639,Financial Advisor,47.25
640,Financial Advisor,49.25
643,Financial Advisor,51.8
656,Financial Advisor,73.94117647058823
661,Financial Advisor,60.411764705882355
665,Financial Advisor,60.0
666,Financial Advisor,32.94117647058823
691,Financial Advisor,47.705882352941174
6,Financial Advisor,43.64705882352941
69,Financial Advisor,61.8125
705,Financial Advisor,59.0625
708,Financial Advisor,50.64705882352941
712,Financial Advisor,55.64705882352941
716,Financial Advisor,60.64705882352941
719,Financial Advisor,46.470588235294116
722,Financial Advisor,59.875
726,Financial Advisor,62.375
727,Financial Advisor,36.529411764705884
729,Financial Advisor,28.941176470588236
736,Financial Advisor,62.3125
747,Financial Advisor,32.88235294117647
749,Financial Advisor,38.9375
750,Financial Advisor,63.0
773,Financial Advisor,53.64705882352941
790,Financial Advisor,48.35294117647059
79,Financial Advisor,60.76470588235294
799,Financial Advisor,54.3125
807,Financial Advisor,49.375
808,Financial Advisor,39.5625
819,Financial Advisor,58.1875
820,Financial Advisor,65.05882352941177
823,Financial Advisor,71.6875
825,Financial Advisor,72.47058823529412
828,Financial Advisor,60.6875
831,Financial Advisor,65.625
833,Financial Advisor,38.3125
835,Financial Advisor,55.470588235294116
836,Financial Advisor,65.375
840,Financial Advisor,34.125
845,Financial Advisor,54.588235294117645
852,Financial Advisor,63.5
854,Financial Advisor,71.0
859,Financial Advisor,40.4375
862,Financial Advisor,57.11764705882353
869,Financial Advisor,44.11764705882353
876,Financial Advisor,50.23529411764706
885,Financial Advisor,49.5
886,Financial Advisor,55.75
894,Financial Advisor,56.1764705882353
897,Financial Advisor,56.6875
902,Financial Advisor,50.0
911,Financial Advisor,56.0
926,Financial Advisor,67.0
92,Financial Advisor,56.3125
942,Financial Advisor,71.5625
951,Financial Advisor,63.6875
958,Financial Advisor,51.5625
959,Financial Advisor,55.8235294117647
961,Financial Advisor,34.5625
962,Financial Advisor,47.94117647058823
966,Financial Advisor,54.125
973,Financial Advisor,58.470588235294116
988,Financial Advisor,50.875
997,Financial Advisor,72.2
102,Financial Advisor,53.73684210526316
110,Financial Advisor,65.0
120,Financial Advisor,30.894736842105264
129,Financial Advisor,58.89473684210526
140,Financial Advisor,65.89473684210526
143,Financial Advisor,48.8421052631579
152,Financial Advisor,61.94736842105263
153,Financial Advisor,67.57894736842105
175,Financial Advisor,62.578947368421055
182,Financial Advisor,46.26315789473684
186,Financial Advisor,46.578947368421055
191,Financial Advisor,66.47368421052632
192,Financial Advisor,62.68421052631579
1,Financial Advisor,55.89473684210526
203,Financial Advisor,27.736842105263158
207,Financial Advisor,36.94736842105263
214,Financial Advisor,48.26315789473684
218,Financial Advisor,57.421052631578945
238,Financial Advisor,67.05263157894737
23,Financial Advisor,73.10526315789474
239,Financial Advisor,52.31578947368421
241,Financial Advisor,63.421052631578945
247,Financial Advisor,59.68421052631579
249,Financial Advisor,56.73684210526316
250,Financial Advisor,40.473684210526315
265,Financial Advisor,47.36842105263158
275,Financial Advisor,67.42105263157895
286,Financial Advisor,54.26315789473684
289,Financial Advisor,63.31578947368421
291,Financial Advisor,63.31578947368421
293,Financial Advisor,34.89473684210526
301,Financial Advisor,58.36842105263158
303,Financial Advisor,64.26315789473684
309,Financial Advisor,66.89473684210526
310,Financial Advisor,58.78947368421053
320,Financial Advisor,69.84210526315789
331,Financial Advisor,52.1578947368421
338,Financial Advisor,44.526315789473685
355,Financial Advisor,59.63157894736842
357,Financial Advisor,55.21052631578947
359,Financial Advisor,57.36842105263158
37,Financial Advisor,79.3157894736842
381,Financial Advisor,35.1578947368421
382,Financial Advisor,58.526315789473685
388,Financial Advisor,52.05263157894737
391,Financial Advisor,44.473684210526315
393,Financial Advisor,57.26315789473684
394,Financial Advisor,50.0
400,Financial Advisor,55.10526315789474
404,Financial Advisor,66.3157894736842
40,Financial Advisor,38.89473684210526
414,Financial Advisor,49.68421052631579
41,Financial Advisor,62.31578947368421
419,Financial Advisor,60.68421052631579
437,Financial Advisor,70.52631578947368
43,Financial Advisor,51.473684210526315
446,Financial Advisor,57.31578947368421
456,Financial Advisor,59.473684210526315
457,Financial Advisor,60.36842105263158
460,Financial Advisor,51.21052631578947
470,Financial Advisor,52.473684210526315
474,Financial Advisor,48.526315789473685
479,Financial Advisor,69.0
482,Financial Advisor,68.21052631578948
498,Financial Advisor,45.10526315789474
513,Financial Advisor,62.36842105263158
514,Financial Advisor,47.73684210526316
516,Financial Advisor,49.78947368421053
520,Financial Advisor,80.63157894736842
523,Financial Advisor,60.36842105263158
528,Financial Advisor,54.578947368421055
536,Financial Advisor,71.6842105263158
550,Financial Advisor,44.526315789473685
555,Financial Advisor,47.36842105263158
563,Financial Advisor,64.73684210526316
570,Financial Advisor,56.10526315789474
572,Financial Advisor,49.63157894736842
573,Financial Advisor,62.89473684210526
57,Financial Advisor,64.36842105263158
591,Financial Advisor,63.526315789473685
595,Financial Advisor,61.31578947368421
596,Financial Advisor,47.8421052631579
5,Financial Advisor,28.36842105263158
601,Financial Advisor,67.84210526315789
614,Financial Advisor,37.578947368421055
62,Financial Advisor,56.0
647,Financial Advisor,62.473684210526315
64,Financial Advisor,66.73684210526316
669,Financial Advisor,57.63157894736842
670,Financial Advisor,35.68421052631579
680,Financial Advisor,53.578947368421055
681,Financial Advisor,70.3157894736842
685,Financial Advisor,56.10526315789474
690,Financial Advisor,70.63157894736842
713,Financial Advisor,61.21052631578947
725,Financial Advisor,40.0
739,Financial Advisor,62.68421052631579
742,Financial Advisor,46.05263157894737
751,Financial Advisor,31.842105263157894
752,Financial Advisor,66.3157894736842
756,Financial Advisor,47.8421052631579
765,Financial Advisor,70.84210526315789
769,Financial Advisor,69.05263157894737
772,Financial Advisor,68.94736842105263
780,Financial Advisor,51.578947368421055
796,Financial Advisor,65.36842105263158
818,Financial Advisor,42.26315789473684
826,Financial Advisor,68.94736842105263
837,Financial Advisor,62.31578947368421
838,Financial Advisor,64.21052631578948
842,Financial Advisor,62.21052631578947
847,Financial Advisor,60.526315789473685
84,Financial Advisor,43.21052631578947
849,Financial Advisor,51.26315789473684
856,Financial Advisor,65.10526315789474
858,Financial Advisor,41.1578947368421
877,Financial Advisor,64.57894736842105
878,Financial Advisor,66.10526315789474
882,Financial Advisor,44.73684210526316
891,Financial Advisor,42.78947368421053
896,Financial Advisor,63.21052631578947
900,Financial Advisor,60.36842105263158
901,Financial Advisor,61.78947368421053
904,Financial Advisor,55.73684210526316
905,Financial Advisor,48.421052631578945
909,Financial Advisor,65.73684210526316
927,Financial Advisor,61.26315789473684
943,Financial Advisor,49.21052631578947
945,Financial Advisor,56.421052631578945
948,Financial Advisor,64.47368421052632
94,Financial Advisor,49.578947368421055
953,Financial Advisor,65.05263157894737
955,Financial Advisor,34.94736842105263
956,Financial Advisor,52.89473684210526
974,Financial Advisor,57.10526315789474
976,Financial Advisor,56.10526315789474
984,Financial Advisor,57.526315789473685
104,Financial Advisor,64.3529411764706
112,Financial Advisor,39.529411764705884
118,Financial Advisor,70.47058823529412
119,Financial Advisor,26.764705882352942
123,Financial Advisor,44.470588235294116
12,Financial Advisor,57.88235294117647
131,Financial Advisor,78.88235294117646
157,Financial Advisor,53.05882352941177
164,Financial Advisor,62.529411764705884
165,Financial Advisor,41.88235294117647
178,Financial Advisor,67.47058823529412
184,Financial Advisor,58.411764705882355
199,Financial Advisor,33.705882352941174
209,Financial Advisor,60.64705882352941
210,Financial Advisor,64.3529411764706
215,Financial Advisor,45.64705882352941
220,Financial Advisor,48.411764705882355
222,Financial Advisor,60.88235294117647
229,Financial Advisor,68.70588235294117
235,Financial Advisor,54.88235294117647
243,Financial Advisor,46.11764705882353
244,Financial Advisor,53.705882352941174
252,Financial Advisor,62.529411764705884
254,Financial Advisor,58.411764705882355
266,Financial Advisor,38.294117647058826
272,Financial Advisor,48.94117647058823
278,Financial Advisor,43.88235294117647
279,Financial Advisor,75.94117647058823
283,Financial Advisor,37.588235294117645
292,Financial Advisor,61.588235294117645
314,Financial Advisor,57.11764705882353
325,Financial Advisor,75.23529411764706
327,Financial Advisor,44.11764705882353
329,Financial Advisor,61.1764705882353
333,Financial Advisor,57.529411764705884
34,Financial Advisor,52.705882352941174
349,Financial Advisor,53.23529411764706
372,Financial Advisor,52.88235294117647
373,Financial Advisor,61.529411764705884
387,Financial Advisor,54.64705882352941
399,Financial Advisor,42.1764705882353
